,id,neighbourhood_group_cleansed,room_type,price,calculated_host_listings_count,availability_365,bedrooms,bathrooms,beds,accommodates,host_is_superhost,log_price
0,36121,Brooklyn,Private room,200.0,1,362,1.0,1.0,1.0,1,False,2.3010299956639813
1,36647,Manhattan,Private room,82.0,1,204,1.0,1.0,1.0,2,False,1.9138138523837167
2,38663,Brooklyn,Private room,765.0,1,326,5.0,2.5,5.0,2,False,2.8836614351536176
3,38833,Manhattan,Entire home/apt,139.0,1,25,1.0,1.0,1.0,2,True,2.143014800254095
4,39282,Brooklyn,Private room,130.0,2,38,1.0,1.0,1.0,2,True,2.113943352306837
5,39572,Manhattan,Private room,139.0,2,365,1.0,1.0,1.0,2,False,2.143014800254095
7,6848,Brooklyn,Entire home/apt,96.0,1,173,2.0,1.0,1.0,3,True,1.9822712330395684
8,6872,Manhattan,Private room,59.0,2,83,1.0,1.0,1.0,1,False,1.7708520116421442
9,6990,Manhattan,Private room,67.0,1,264,2.0,1.0,2.0,1,False,1.8260748027008264
11,7097,Brooklyn,Private room,195.0,2,190,1.0,1.0,2.0,2,True,2.290034611362518
13,8490,Brooklyn,Entire home/apt,216.0,2,150,1.0,1.0,4.0,5,False,2.3344537511509307
15,93313,Brooklyn,Entire home/apt,165.0,2,144,2.0,1.0,4.0,5,False,2.2174839442139063
16,94783,Brooklyn,Entire home/apt,150.0,1,48,1.0,1.0,1.0,2,True,2.1760912590556813
17,96471,Brooklyn,Private room,171.0,3,365,1.0,1.5,3.0,5,False,2.2329961103921536
18,98663,Manhattan,Entire home/apt,150.0,1,176,1.0,1.0,1.0,2,False,2.1760912590556813
19,100002,Manhattan,Private room,62.0,1,173,1.0,1.0,2.0,2,False,1.792391689498254
20,100186,Brooklyn,Entire home/apt,100.0,1,89,1.0,1.0,2.0,3,True,2.0
24,42300,Manhattan,Entire home/apt,563.0,1,145,3.0,2.0,4.0,5,False,2.7505083948513462
25,42729,Brooklyn,Private room,185.0,4,364,1.0,1.0,1.0,2,False,2.2671717284030137
26,43105,Manhattan,Entire home/apt,165.0,1,365,1.0,1.0,1.0,2,False,2.2174839442139063
27,44229,Brooklyn,Private room,110.0,2,365,1.0,1.0,1.0,2,False,2.041392685158225
28,44973,Brooklyn,Entire home/apt,77.0,1,89,1.0,1.0,2.0,2,False,1.8864907251724818
31,10452,Brooklyn,Private room,90.0,6,137,1.0,1.0,2.0,2,True,1.954242509439325
34,12940,Brooklyn,Entire home/apt,110.0,1,110,1.0,1.0,1.0,2,True,2.041392685158225
35,14314,Brooklyn,Entire home/apt,115.0,1,303,1.0,1.0,2.0,2,True,2.060697840353612
36,15341,Manhattan,Entire home/apt,169.0,1,90,1.0,1.0,2.0,3,True,2.2278867046136734
37,15385,Brooklyn,Private room,97.0,1,206,1.0,1.0,1.0,1,False,1.9867717342662448
39,16580,Manhattan,Private room,109.0,2,118,1.0,1.0,1.0,1,True,2.037426497940624
40,45910,Queens,Entire home/apt,534.0,10,365,5.0,2.5,9.0,16,False,2.727541257028556
41,45935,Bronx,Private room,60.0,1,83,1.0,1.0,1.0,1,False,1.7781512503836436
42,45936,Manhattan,Private room,97.0,2,317,1.0,1.0,1.0,2,True,1.9867717342662448
44,103555,Brooklyn,Entire home/apt,260.0,1,60,2.0,2.5,2.0,3,False,2.4149733479708178
45,105469,Queens,Private room,114.0,1,90,1.0,1.0,1.0,1,False,2.0569048513364727
46,106363,Manhattan,Private room,81.0,1,175,1.0,1.5,1.0,1,True,1.9084850188786497
47,106647,Brooklyn,Entire home/apt,161.0,1,83,2.0,1.0,3.0,4,True,2.2068258760318495
48,107630,Brooklyn,Entire home/apt,175.0,2,84,1.0,1.0,2.0,3,False,2.2430380486862944
50,112435,Brooklyn,Private room,95.0,2,365,1.0,1.0,1.0,2,False,1.9777236052888478
51,113265,Brooklyn,Private room,60.0,2,364,1.0,1.0,1.0,2,True,1.7781512503836436
52,115535,Manhattan,Private room,57.0,1,304,1.0,1.0,1.0,1,False,1.7558748556724915
54,46911,Brooklyn,Private room,85.0,3,200,1.0,1.0,1.0,2,True,1.9294189257142926
55,49048,Brooklyn,Private room,95.0,6,280,1.0,2.0,2.0,3,True,1.9777236052888478
56,16821,Manhattan,Private room,136.0,2,50,1.0,1.0,1.0,1,True,2.1335389083702174
57,16974,Manhattan,Entire home/apt,300.0,1,57,4.0,2.0,6.0,8,False,2.4771212547196626
58,17037,Manhattan,Entire home/apt,230.0,1,177,1.0,1.0,1.0,2,False,2.361727836017593
59,18152,Manhattan,Private room,70.0,1,354,2.0,1.0,1.0,2,False,1.845098040014257
60,18728,Manhattan,Private room,150.0,1,263,1.0,1.5,1.0,3,True,2.1760912590556813
62,19174,Manhattan,Entire home/apt,200.0,1,300,1.0,1.0,3.0,4,False,2.3010299956639813
63,19282,Brooklyn,Private room,94.0,1,88,1.0,2.0,2.0,4,False,1.9731278535996986
66,52689,Queens,Private room,153.0,1,20,2.0,1.0,2.0,2,True,2.184691430817599
67,53469,Queens,Entire home/apt,117.0,10,365,1.0,1.0,1.0,4,False,2.0681858617461617
68,115748,Queens,Entire home/apt,110.0,1,88,1.0,1.0,1.0,2,False,2.041392685158225
70,118061,Brooklyn,Entire home/apt,90.0,1,215,1.0,1.0,1.0,2,True,1.954242509439325
71,125163,Brooklyn,Entire home/apt,99.0,2,365,1.0,1.0,1.0,2,True,1.99563519459755
73,135465,Brooklyn,Entire home/apt,156.0,1,172,1.0,1.0,1.0,3,True,2.1931245983544616
74,136493,Brooklyn,Private room,266.0,1,71,2.0,2.5,2.0,4,False,2.424881636631067
76,53470,Queens,Entire home/apt,223.0,10,365,2.0,1.0,3.0,7,False,2.3483048630481607
77,53477,Queens,Entire home/apt,298.0,10,365,4.0,2.0,8.0,12,False,2.4742162640762553
78,54466,Manhattan,Private room,172.0,1,365,1.0,1.0,1.0,2,False,2.2355284469075487
79,54508,Brooklyn,Private room,87.0,3,211,1.0,1.5,1.0,2,True,1.9395192526186185
80,54544,Manhattan,Entire home/apt,86.0,4,59,1.0,1.0,4.0,5,False,1.9344984512435677
82,54860,Manhattan,Private room,125.0,1,354,1.0,1.0,1.0,2,False,2.0969100130080562
85,21794,Manhattan,Private room,85.0,2,364,1.0,1.0,1.0,2,False,1.9294189257142926
86,23135,Brooklyn,Private room,150.0,4,365,1.0,1.0,1.0,2,False,2.1760912590556813
87,23545,Manhattan,Entire home/apt,200.0,1,358,1.0,1.0,2.0,2,True,2.3010299956639813
88,24285,Brooklyn,Entire home/apt,200.0,1,274,3.0,3.0,7.0,5,False,2.3010299956639813
90,26785,Brooklyn,Entire home/apt,81.0,3,61,1.0,1.0,3.0,2,False,1.9084850188786497
92,55959,Brooklyn,Private room,127.0,2,33,1.0,1.0,1.0,1,True,2.103803720955957
94,56859,Manhattan,Private room,60.0,4,90,1.0,1.0,1.0,2,False,1.7781512503836436
95,57166,Queens,Entire home/apt,103.0,1,241,1.0,1.0,2.0,3,True,2.012837224705172
96,57297,Brooklyn,Private room,292.0,1,180,1.0,1.0,1.0,2,False,2.4653828514484184
97,140133,Brooklyn,Entire home/apt,280.0,1,213,1.0,1.0,3.0,4,False,2.4471580313422194
98,141335,Brooklyn,Private room,855.0,2,365,3.0,2.0,3.0,2,False,2.931966114728173
100,144087,Manhattan,Entire home/apt,259.0,2,365,2.0,1.0,3.0,4,True,2.413299764081252
102,146726,Manhattan,Entire home/apt,175.0,1,358,1.0,1.5,1.0,2,False,2.2430380486862944
104,148259,Brooklyn,Entire home/apt,290.0,1,304,3.0,1.0,3.0,6,False,2.462397997898956
105,148825,Manhattan,Entire home/apt,112.0,2,199,2.0,1.0,2.0,3,True,2.0492180226701815
106,150804,Manhattan,Private room,475.0,1,203,2.0,2.0,2.0,2,True,2.6766936096248664
109,57874,Manhattan,Entire home/apt,116.0,2,226,1.0,1.0,1.0,2,True,2.0644579892269186
110,58059,Manhattan,Private room,44.0,2,92,1.0,1.5,1.0,2,True,1.6434526764861874
111,59014,Manhattan,Entire home/apt,150.0,1,151,1.0,1.0,1.0,2,False,2.1760912590556813
112,28907,Manhattan,Entire home/apt,150.0,1,365,1.0,1.0,2.0,4,False,2.1760912590556813
113,29013,Brooklyn,Private room,90.0,6,292,1.0,1.0,1.0,2,True,1.954242509439325
114,29628,Brooklyn,Private room,139.0,1,166,1.0,1.0,1.0,2,True,2.143014800254095
115,31130,Manhattan,Entire home/apt,210.0,4,365,1.0,1.0,1.0,1,False,2.322219294733919
118,31994,Brooklyn,Private room,122.0,2,242,1.0,1.0,1.0,2,True,2.0863598306747484
120,33009,Brooklyn,Entire home/apt,233.0,1,239,1.0,1.0,1.0,2,False,2.367355921026019
121,59121,Queens,Entire home/apt,223.0,10,365,3.0,1.0,6.0,9,False,2.3483048630481607
124,60611,Manhattan,Entire home/apt,125.0,4,152,1.0,1.0,1.0,2,True,2.0969100130080562
125,151199,Queens,Private room,164.0,1,341,1.0,1.0,2.0,3,False,2.214843848047698
126,152263,Manhattan,Private room,248.0,2,101,1.0,1.0,2.0,3,True,2.3944516808262164
128,157673,Brooklyn,Entire home/apt,63.0,1,305,1.0,1.0,1.0,4,False,1.7993405494535817
129,158061,Brooklyn,Private room,162.0,4,365,1.0,1.0,1.0,2,False,2.2095150145426308
132,166006,Manhattan,Entire home/apt,275.0,1,136,2.0,1.0,5.0,6,True,2.439332693830263
134,60666,Manhattan,Private room,73.0,4,83,1.0,1.5,2.0,2,False,1.863322860120456
136,34760,Brooklyn,Private room,74.0,3,112,1.0,2.0,1.0,1,True,1.8692317197309762
137,212109,Manhattan,Private room,98.0,1,305,2.0,1.0,2.0,1,False,1.9912260756924949
139,213330,Manhattan,Private room,220.0,1,241,1.0,2.0,1.0,2,True,2.342422680822206
141,216080,Brooklyn,Private room,183.0,2,340,1.0,1.0,1.0,2,True,2.2624510897304293
142,218358,Manhattan,Private room,58.0,1,210,1.0,1.0,1.0,1,True,1.7634279935629373
143,219066,Brooklyn,Entire home/apt,106.0,1,364,1.0,1.0,1.0,2,False,2.0253058652647704
144,219922,Manhattan,Private room,90.0,1,89,1.0,1.0,2.0,1,False,1.954242509439325
146,60680,Manhattan,Entire home/apt,115.0,6,361,1.0,1.0,2.0,6,True,2.060697840353612
148,61406,Manhattan,Private room,65.0,2,180,1.0,1.5,1.0,1,False,1.8129133566428555
149,62925,Brooklyn,Entire home/apt,350.0,2,180,1.0,2.0,1.0,4,False,2.5440680443502757
151,63610,Bronx,Private room,125.0,8,358,1.0,1.0,1.0,2,False,2.0969100130080562
153,168123,Brooklyn,Entire home/apt,175.0,1,153,1.0,1.0,1.0,2,False,2.2430380486862944
154,169483,Brooklyn,Entire home/apt,231.0,2,182,1.0,1.0,1.0,4,False,2.3636119798921444
156,170761,Brooklyn,Private room,106.0,2,163,1.0,1.5,1.0,2,True,2.0253058652647704
158,173151,Brooklyn,Private room,78.0,1,90,1.0,1.0,1.0,2,False,1.8920946026904804
159,174966,Manhattan,Entire home/apt,2500.0,10,364,2.0,2.5,4.0,9,False,3.3979400086720375
160,176135,Brooklyn,Entire home/apt,101.0,1,45,1.0,1.0,1.0,2,False,2.0043213737826426
164,223930,Brooklyn,Entire home/apt,150.0,1,363,1.0,1.0,1.0,2,False,2.1760912590556813
165,225354,Brooklyn,Entire home/apt,222.0,1,275,1.0,1.0,1.0,2,False,2.346352974450639
166,225976,Staten Island,Entire home/apt,116.0,1,93,1.0,1.0,1.0,3,True,2.0644579892269186
167,226021,Brooklyn,Entire home/apt,295.0,2,270,2.0,1.0,3.0,5,True,2.469822015978163
168,227495,Manhattan,Entire home/apt,127.0,1,87,1.0,1.0,2.0,2,False,2.103803720955957
169,228317,Brooklyn,Private room,192.0,1,315,1.0,1.0,1.0,2,False,2.2833012287035497
173,64314,Brooklyn,Private room,71.0,1,5,1.0,1.0,1.0,2,False,1.8512583487190752
174,64365,Brooklyn,Private room,57.0,2,364,1.0,1.0,1.0,2,True,1.7558748556724915
177,66008,Brooklyn,Entire home/apt,171.0,1,167,2.0,1.0,2.0,4,False,2.2329961103921536
178,66251,Manhattan,Entire home/apt,349.0,1,180,1.0,1.0,1.0,2,False,2.5428254269591797
179,177606,Manhattan,Entire home/apt,150.0,1,121,1.0,1.0,1.0,2,True,2.1760912590556813
180,179670,Manhattan,Private room,175.0,1,83,1.0,1.0,1.0,1,False,2.2430380486862944
182,180201,Brooklyn,Entire home/apt,117.0,1,269,1.0,1.0,1.0,2,False,2.0681858617461617
183,182069,Manhattan,Entire home/apt,88.0,1,337,1.0,1.0,1.0,3,False,1.9444826721501687
188,66275,Manhattan,Entire home/apt,199.0,3,295,2.0,1.0,3.0,7,False,2.298853076409707
189,66974,Brooklyn,Entire home/apt,209.0,2,272,1.0,1.0,1.0,2,True,2.3201462861110542
193,233638,Queens,Private room,83.0,1,365,1.0,1.0,2.0,2,False,1.919078092376074
194,235552,Brooklyn,Entire home/apt,361.0,1,113,3.0,2.0,4.0,6,False,2.5575072019056577
196,235951,Manhattan,Entire home/apt,188.0,1,105,1.0,1.0,1.0,2,True,2.27415784926368
197,235960,Manhattan,Entire home/apt,108.0,1,237,1.0,1.0,2.0,2,False,2.03342375548695
199,67299,Brooklyn,Entire home/apt,156.0,1,59,1.0,1.0,2.0,4,True,2.1931245983544616
201,68735,Manhattan,Entire home/apt,189.0,1,144,1.0,1.0,1.0,2,False,2.2764618041732443
202,68974,Manhattan,Entire home/apt,657.0,1,335,3.0,1.0,3.0,6,False,2.8175653695597807
205,190974,Brooklyn,Entire home/apt,130.0,1,364,1.0,1.0,2.0,2,False,2.113943352306837
207,191610,Manhattan,Private room,125.0,1,92,1.0,1.0,1.0,2,True,2.0969100130080562
208,195123,Manhattan,Private room,75.0,1,340,1.0,1.5,1.0,2,False,1.8750612633917
209,195240,Brooklyn,Private room,60.0,1,88,1.0,1.0,1.0,1,False,1.7781512503836436
210,195989,Brooklyn,Private room,105.0,1,61,1.0,1.0,1.0,2,False,2.0211892990699383
211,69894,Manhattan,Entire home/apt,128.0,1,107,1.0,1.0,1.0,2,True,2.1072099696478683
213,245544,Bronx,Private room,43.0,3,93,2.0,1.0,2.0,2,False,1.6334684555795864
214,245574,Brooklyn,Private room,82.0,1,341,1.0,1.0,2.0,2,False,1.9138138523837167
216,248865,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
217,248966,Brooklyn,Private room,95.0,1,365,1.0,2.0,1.0,2,False,1.9777236052888478
219,249704,Brooklyn,Entire home/apt,185.0,1,304,1.0,1.0,1.0,2,True,2.2671717284030137
220,249867,Brooklyn,Private room,119.0,4,365,1.0,1.0,1.0,1,False,2.0755469613925306
222,71366,Manhattan,Entire home/apt,200.0,1,69,1.0,1.0,1.0,2,True,2.3010299956639813
225,199733,Brooklyn,Entire home/apt,125.0,3,245,1.0,1.0,1.0,2,True,2.0969100130080562
227,201992,Brooklyn,Entire home/apt,190.0,1,363,1.0,1.0,2.0,4,False,2.278753600952829
230,204065,Brooklyn,Entire home/apt,398.0,2,301,2.0,1.0,5.0,8,False,2.5998830720736876
231,205485,Brooklyn,Entire home/apt,185.0,1,88,1.0,1.0,1.0,2,False,2.2671717284030137
233,206957,Brooklyn,Private room,72.0,2,87,1.0,1.0,4.0,4,False,1.8573324964312685
237,75635,Manhattan,Entire home/apt,120.0,1,263,1.0,1.0,1.0,2,False,2.0791812460476247
238,75658,Brooklyn,Private room,221.0,1,364,1.0,1.0,1.0,2,False,2.3443922736851106
239,250536,Manhattan,Private room,121.0,2,358,1.0,1.0,3.0,2,False,2.0827853703164503
242,251277,Manhattan,Private room,115.0,1,355,2.0,2.0,1.0,1,False,2.060697840353612
244,253332,Brooklyn,Private room,180.0,1,220,1.0,1.0,1.0,2,False,2.255272505103306
245,253466,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
246,253471,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
247,253475,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
248,253800,Brooklyn,Entire home/apt,246.0,29,264,1.0,1.0,2.0,4,False,2.3909351071033793
249,77765,Brooklyn,Hotel room,184.0,29,178,1.0,1.0,1.0,2,False,2.2648178230095364
250,79067,Brooklyn,Entire home/apt,350.0,1,152,3.0,2.5,4.0,5,False,2.5440680443502757
251,80493,Manhattan,Private room,76.0,1,365,1.0,1.0,2.0,2,False,1.8808135922807914
252,208889,Brooklyn,Entire home/apt,89.0,2,179,2.0,1.0,2.0,4,False,1.9493900066449128
253,209310,Queens,Private room,52.0,1,214,1.0,1.0,2.0,2,False,1.7160033436347992
254,274743,Manhattan,Entire home/apt,95.0,1,276,1.0,1.0,1.0,1,False,1.9777236052888478
256,276021,Brooklyn,Entire home/apt,424.0,1,365,2.0,2.0,2.0,4,False,2.6273658565927325
257,276317,Brooklyn,Private room,630.0,1,335,3.0,2.0,3.0,2,False,2.7993405494535817
258,277883,Brooklyn,Private room,109.0,1,89,1.0,1.0,1.0,2,False,2.037426497940624
263,253803,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
264,253806,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
265,253811,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
269,253846,Brooklyn,Hotel room,184.0,29,179,1.0,1.0,1.0,2,False,2.2648178230095364
271,255476,Brooklyn,Private room,82.0,2,90,2.0,2.0,2.0,1,True,1.9138138523837167
272,255601,Brooklyn,Entire home/apt,217.0,1,287,2.0,1.0,2.0,2,False,2.3364597338485296
274,82638,Manhattan,Entire home/apt,139.0,1,364,1.0,1.0,2.0,2,True,2.143014800254095
275,82928,Brooklyn,Entire home/apt,165.0,1,276,2.0,1.0,3.0,5,False,2.2174839442139063
276,83243,Brooklyn,Entire home/apt,77.0,1,229,1.0,1.0,2.0,3,False,1.8864907251724818
277,83474,Brooklyn,Private room,166.0,1,365,1.0,1.5,1.0,1,False,2.220108088040055
279,281851,Manhattan,Private room,117.0,2,293,1.0,1.0,3.0,2,True,2.0681858617461617
281,286662,Brooklyn,Entire home/apt,120.0,1,152,1.0,1.0,1.0,2,False,2.0791812460476247
283,287408,Manhattan,Entire home/apt,189.0,1,70,1.0,1.0,2.0,1,False,2.2764618041732443
284,287845,Brooklyn,Entire home/apt,225.0,1,139,2.0,1.0,2.0,4,True,2.3521825181113627
287,84010,Brooklyn,Hotel room,184.0,29,179,1.0,1.0,1.0,2,False,2.2648178230095364
288,89427,Brooklyn,Entire home/apt,800.0,3,358,1.0,1.5,2.0,10,False,2.9030899869919438
289,400078,Brooklyn,Entire home/apt,300.0,6,334,3.0,2.0,3.0,5,False,2.4771212547196626
292,255957,Manhattan,Entire home/apt,495.0,2,249,2.0,2.0,2.0,4,True,2.694605198933569
293,257097,Brooklyn,Entire home/apt,107.0,1,192,2.0,1.0,2.0,2,True,2.0293837776852097
298,260755,Manhattan,Entire home/apt,191.0,1,364,1.0,1.0,1.0,4,True,2.2810333672477277
301,409262,Brooklyn,Entire home/apt,250.0,3,182,2.0,1.0,3.0,5,True,2.3979400086720375
304,292121,Manhattan,Entire home/apt,157.0,2,365,1.0,1.0,1.0,3,False,2.1958996524092336
306,292800,Manhattan,Entire home/apt,210.0,1,181,1.0,1.0,2.0,2,False,2.322219294733919
307,294227,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
308,294242,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
309,294259,Brooklyn,Entire home/apt,246.0,29,238,1.0,1.0,2.0,4,False,2.3909351071033793
310,294263,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
312,411918,Brooklyn,Entire home/apt,190.0,3,135,3.0,1.0,4.0,6,False,2.278753600952829
313,413504,Brooklyn,Private room,163.0,1,179,1.0,1.0,1.0,2,False,2.2121876044039577
315,416557,Brooklyn,Entire home/apt,138.0,1,364,1.0,1.0,1.0,3,False,2.1398790864012365
316,294280,Brooklyn,Entire home/apt,246.0,29,274,1.0,1.0,2.0,4,False,2.3909351071033793
318,295998,Manhattan,Entire home/apt,275.0,1,154,1.0,1.0,1.0,2,False,2.439332693830263
320,296717,Brooklyn,Private room,55.0,4,265,1.0,1.0,1.0,3,False,1.7403626894942439
321,298759,Brooklyn,Private room,50.0,4,206,2.0,1.0,1.0,2,False,1.6989700043360187
323,301034,Manhattan,Private room,72.0,1,178,1.0,1.5,1.0,1,False,1.8573324964312685
327,263232,Manhattan,Entire home/apt,124.0,1,83,1.0,1.0,2.0,4,False,2.093421685162235
328,263888,Manhattan,Entire home/apt,223.0,1,193,1.0,1.0,1.0,2,True,2.3483048630481607
331,266449,Manhattan,Entire home/apt,85.0,2,196,2.0,1.0,2.0,4,True,1.9294189257142926
332,266753,Manhattan,Entire home/apt,235.0,3,365,2.0,1.0,2.0,4,False,2.3710678622717363
334,417685,Brooklyn,Entire home/apt,125.0,1,272,2.0,1.0,3.0,6,False,2.0969100130080562
337,424767,Manhattan,Entire home/apt,265.0,1,258,1.0,1.0,2.0,4,False,2.423245873936808
338,425423,Bronx,Private room,37.0,2,365,1.0,1.5,1.0,2,False,1.568201724066995
341,267652,Brooklyn,Private room,65.0,1,59,1.0,1.0,1.0,1,True,1.8129133566428555
342,268335,Brooklyn,Entire home/apt,175.0,3,304,1.0,1.0,1.0,2,False,2.2430380486862944
343,268439,Brooklyn,Entire home/apt,120.0,1,336,1.0,1.0,1.0,2,False,2.0791812460476247
345,269283,Brooklyn,Private room,65.0,2,179,1.0,1.0,1.0,1,True,1.8129133566428555
346,269404,Queens,Private room,94.0,3,365,1.0,1.0,1.0,2,False,1.9731278535996986
347,270139,Brooklyn,Private room,75.0,2,32,1.0,1.0,1.0,1,False,1.8750612633917
348,270231,Queens,Private room,95.0,2,364,1.0,1.0,2.0,2,False,1.9777236052888478
349,270345,Manhattan,Entire home/apt,212.0,1,334,1.0,1.0,1.0,4,False,2.326335860928751
350,431865,Manhattan,Entire home/apt,331.0,1,315,2.0,1.0,3.0,2,True,2.519827993775719
351,302238,Manhattan,Entire home/apt,282.0,11,364,2.0,1.0,8.0,9,False,2.450249108319361
352,302280,Manhattan,Entire home/apt,200.0,11,281,1.0,1.0,4.0,9,False,2.3010299956639813
353,302309,Manhattan,Entire home/apt,300.0,11,364,2.0,1.0,6.0,9,False,2.4771212547196626
354,302705,Manhattan,Private room,65.0,1,156,1.0,1.0,1.0,1,False,1.8129133566428555
355,302758,Manhattan,Entire home/apt,150.0,1,88,1.0,1.0,2.0,2,False,2.1760912590556813
356,303264,Manhattan,Entire home/apt,282.0,11,364,2.0,1.0,6.0,10,False,2.450249108319361
357,305245,Manhattan,Entire home/apt,250.0,11,364,2.0,1.0,6.0,9,False,2.3979400086720375
359,310325,Manhattan,Private room,64.0,2,307,1.0,1.0,1.0,1,False,1.806179973983887
360,310338,Manhattan,Private room,64.0,2,365,1.0,1.0,1.0,1,False,1.806179973983887
362,432823,Brooklyn,Private room,250.0,2,363,1.0,1.0,1.0,2,False,2.3979400086720375
364,433414,Brooklyn,Entire home/apt,144.0,1,213,1.0,1.0,1.0,2,True,2.1583624920952498
365,433914,Brooklyn,Entire home/apt,90.0,1,29,1.0,1.0,4.0,4,False,1.954242509439325
366,437352,Brooklyn,Entire home/apt,155.0,1,213,2.0,1.0,2.0,3,True,2.1903316981702914
368,272026,Manhattan,Entire home/apt,81.0,1,358,1.0,1.0,2.0,2,False,1.9084850188786497
370,518566,Manhattan,Private room,89.0,2,363,1.0,1.0,2.0,1,False,1.9493900066449128
371,519310,Queens,Private room,85.0,2,364,1.0,1.0,1.0,2,False,1.9294189257142926
374,523123,Brooklyn,Entire home/apt,523.0,1,220,4.0,2.0,4.0,6,False,2.718501688867274
375,528485,Brooklyn,Private room,58.0,2,199,1.0,1.0,1.0,1,False,1.7634279935629373
377,530576,Manhattan,Private room,110.0,1,264,2.0,1.0,1.0,1,True,2.041392685158225
379,439750,Brooklyn,Private room,55.0,1,237,1.0,1.0,1.0,2,False,1.7403626894942439
380,310524,Brooklyn,Private room,106.0,1,336,1.0,1.0,1.0,2,True,2.0253058652647704
382,314982,Manhattan,Private room,91.0,1,243,1.0,1.0,1.0,2,False,1.9590413923210936
383,318021,Manhattan,Private room,87.0,1,171,1.0,1.0,1.0,1,True,1.9395192526186185
386,321136,Manhattan,Entire home/apt,200.0,1,263,1.0,1.0,1.0,2,True,2.3010299956639813
387,322037,Brooklyn,Entire home/apt,238.0,1,245,1.0,1.0,4.0,5,False,2.376576957056512
389,439870,Brooklyn,Entire home/apt,454.0,2,138,4.0,2.0,4.0,6,False,2.6570558528571038
390,442636,Queens,Entire home/apt,72.0,1,112,1.0,1.0,2.0,4,False,1.8573324964312685
392,443646,Manhattan,Entire home/apt,425.0,1,178,1.0,3.0,1.0,2,False,2.6283889300503116
394,447766,Manhattan,Private room,99.0,1,60,1.0,1.0,1.0,1,False,1.99563519459755
395,448011,Brooklyn,Private room,200.0,1,177,1.0,1.0,1.0,2,False,2.3010299956639813
396,325429,Manhattan,Entire home/apt,179.0,1,364,1.0,1.0,1.0,2,False,2.2528530309798933
400,332208,Brooklyn,Private room,125.0,3,363,2.0,1.0,3.0,2,True,2.0969100130080562
401,333323,Manhattan,Private room,82.0,3,238,1.0,1.0,1.0,1,False,1.9138138523837167
403,336055,Bronx,Private room,41.0,2,350,1.0,1.5,1.0,2,False,1.6127838567197355
405,532288,Manhattan,Entire home/apt,279.0,6,246,1.0,1.0,1.0,2,True,2.4456042032735974
406,533506,Manhattan,Entire home/apt,130.0,2,92,1.0,1.0,2.0,2,False,2.113943352306837
407,536578,Brooklyn,Private room,43.0,1,226,1.0,1.0,1.0,2,True,1.6334684555795864
408,538465,Manhattan,Entire home/apt,131.0,1,350,1.0,1.0,2.0,2,True,2.1172712956557644
409,540057,Manhattan,Entire home/apt,133.0,1,78,2.0,1.0,3.0,6,True,2.123851640967086
410,541725,Brooklyn,Entire home/apt,307.0,2,269,1.0,1.0,1.0,2,True,2.4871383754771865
411,542054,Manhattan,Entire home/apt,126.0,2,211,1.0,1.0,2.0,2,False,2.100370545117563
412,543792,Queens,Entire home/apt,100.0,1,137,1.0,1.0,3.0,2,True,2.0
413,449660,Brooklyn,Private room,72.0,1,365,1.0,1.0,2.0,2,False,1.8573324964312685
414,450577,Manhattan,Entire home/apt,200.0,1,364,1.0,1.0,2.0,2,False,2.3010299956639813
416,453094,Brooklyn,Private room,100.0,2,232,1.0,1.0,1.0,2,True,2.0
420,455734,Manhattan,Entire home/apt,120.0,1,230,1.0,1.0,1.0,2,False,2.0791812460476247
422,456190,Manhattan,Entire home/apt,227.0,2,113,1.0,1.0,1.0,2,False,2.3560258571931225
423,342995,Manhattan,Private room,108.0,2,179,1.0,1.0,1.0,2,False,2.03342375548695
424,343276,Manhattan,Private room,136.0,3,73,1.0,1.0,2.0,2,True,2.1335389083702174
425,343766,Queens,Entire home/apt,87.0,2,33,1.0,1.0,1.0,1,True,1.9395192526186185
426,344082,Manhattan,Entire home/apt,246.0,3,35,1.0,1.0,1.0,1,True,2.3909351071033793
429,351859,Manhattan,Entire home/apt,290.0,1,364,1.0,1.0,1.0,2,False,2.462397997898956
430,352651,Brooklyn,Private room,83.0,3,307,1.0,1.0,1.0,2,False,1.919078092376074
431,353317,Manhattan,Private room,100.0,1,178,1.0,1.0,1.0,2,False,2.0
432,355563,Brooklyn,Entire home/apt,738.0,3,154,3.0,2.0,6.0,8,True,2.8680563618230415
