,id,neighbourhood_group_cleansed,room_type,price,calculated_host_listings_count,availability_365,bedrooms,bathrooms,beds,accommodates,host_is_superhost,log_price
28637,951283938469772317,Manhattan,Entire home/apt,334.0,2,365,2.0,1.0,1.0,4,False,2.5237464668115646
28638,951290001212126600,Manhattan,Private room,576.0,1,360,1.0,2.0,2.0,4,False,2.760422483423212
28640,951379563230528793,Brooklyn,Entire home/apt,127.0,1,179,2.0,1.0,2.0,8,False,2.103803720955957
28641,951553196276318579,Queens,Entire home/apt,119.0,2,164,2.0,1.0,2.0,4,False,2.0755469613925306
28642,951571743611145829,Brooklyn,Entire home/apt,171.0,1,31,1.0,1.0,1.0,2,False,2.2329961103921536
28645,952213620811085307,Manhattan,Entire home/apt,177.0,138,242,1.0,1.0,1.0,2,True,2.247973266361807
28646,952230046768622631,Manhattan,Entire home/apt,177.0,138,336,1.0,1.0,1.0,2,True,2.247973266361807
28647,952235385988026953,Manhattan,Entire home/apt,186.0,138,341,1.0,1.0,1.0,2,True,2.2695129442179165
28648,947506677820065380,Brooklyn,Entire home/apt,63.0,1,241,1.0,1.0,1.0,2,False,1.7993405494535817
28650,947708237377081975,Manhattan,Entire home/apt,211.0,1,182,1.0,1.0,2.0,4,False,2.3242824552976926
28651,947748255892941763,Brooklyn,Entire home/apt,200.0,1,269,1.0,1.0,1.0,1,False,2.3010299956639813
28652,947751330348815891,Queens,Private room,65.0,2,365,1.0,1.0,1.0,2,False,1.8129133566428555
28653,947812293105229520,Manhattan,Entire home/apt,205.0,1,177,1.0,1.0,1.0,2,False,2.311753861055754
28654,947814065586984234,Queens,Private room,91.0,2,179,1.0,1.0,1.0,1,False,1.9590413923210936
28656,952282208649608234,Manhattan,Entire home/apt,186.0,138,293,1.0,1.0,1.0,2,True,2.2695129442179165
28657,952394433494138725,Manhattan,Private room,100.0,3,45,1.0,2.0,1.0,2,False,2.0
28658,952403908081009301,Manhattan,Entire home/apt,186.0,138,78,1.0,1.0,1.0,2,True,2.2695129442179165
28659,952408460558400002,Manhattan,Entire home/apt,186.0,138,335,1.0,1.0,1.0,2,True,2.2695129442179165
28660,952417627193014787,Manhattan,Entire home/apt,186.0,138,330,1.0,1.0,1.0,2,True,2.2695129442179165
28661,952430344707624082,Manhattan,Entire home/apt,182.0,138,323,1.0,1.0,1.0,2,True,2.2600713879850747
28662,952440321735513154,Manhattan,Entire home/apt,182.0,138,337,1.0,1.0,1.0,2,True,2.2600713879850747
28663,952444280211995537,Manhattan,Entire home/apt,182.0,138,336,1.0,1.0,1.0,2,True,2.2600713879850747
28664,943448404698310515,Manhattan,Entire home/apt,218.0,13,60,1.0,1.0,1.0,2,True,2.3384564936046046
28665,943454489635225050,Manhattan,Entire home/apt,256.0,13,250,1.0,1.0,1.0,4,True,2.4082399653118496
28666,943532117931729388,Manhattan,Entire home/apt,85.0,32,44,1.0,1.0,2.0,2,False,1.9294189257142926
28667,943562811506042858,Brooklyn,Entire home/apt,351.0,1,294,2.0,2.0,2.0,4,True,2.545307116465824
28668,943707153287511998,Brooklyn,Entire home/apt,113.0,3,363,2.0,1.0,2.0,3,False,2.0530784434834195
28669,943780020325684092,Queens,Shared room,58.0,3,270,1.0,1.0,1.0,1,True,1.7634279935629373
28670,943789666349337789,Queens,Entire home/apt,259.0,3,179,3.0,2.0,4.0,6,True,2.413299764081252
28671,944236621599209077,Brooklyn,Private room,45.0,7,77,1.0,1.0,1.0,1,True,1.6532125137753437
28672,944241745269749895,Manhattan,Entire home/apt,280.0,1,146,2.0,1.0,3.0,4,False,2.4471580313422194
28674,947942898178043576,Manhattan,Private room,30.0,4,124,1.0,1.0,1.0,2,False,1.4771212547196624
28675,947990637125132193,Manhattan,Entire home/apt,240.0,1,270,1.0,1.0,2.0,2,False,2.380211241711606
28676,948073089435542820,Manhattan,Private room,191.0,68,233,1.0,1.0,3.0,5,False,2.2810333672477277
28677,948074897183249086,Brooklyn,Entire home/apt,170.0,2,269,1.0,1.0,2.0,4,False,2.230448921378274
28678,948154615971768276,Queens,Entire home/apt,420.0,2,364,1.0,1.0,2.0,16,True,2.6232492903979003
28679,948160046984994544,Brooklyn,Entire home/apt,80.0,1,229,2.0,1.0,2.0,4,True,1.9030899869919435
28680,952451857525858755,Manhattan,Entire home/apt,192.0,138,269,1.0,1.0,1.0,2,True,2.2833012287035497
28681,952455301934953242,Manhattan,Entire home/apt,182.0,138,347,1.0,1.0,1.0,2,True,2.2600713879850747
28682,952465726593503508,Manhattan,Entire home/apt,173.0,138,227,1.0,1.0,1.0,2,True,2.2380461031287955
28683,952468798459016382,Manhattan,Entire home/apt,169.0,138,332,1.0,1.0,1.0,2,True,2.2278867046136734
28684,952471368632957564,Manhattan,Entire home/apt,173.0,138,273,1.0,1.0,1.0,2,True,2.2380461031287955
28685,952473552453018401,Manhattan,Entire home/apt,173.0,138,353,1.0,1.0,1.0,2,True,2.2380461031287955
28689,952792704677899527,Brooklyn,Private room,422.0,36,207,1.0,1.0,1.0,2,False,2.625312450961674
28690,948380746612788025,Brooklyn,Private room,112.0,1,350,1.0,1.0,1.0,2,True,2.0492180226701815
28692,944831938640547421,Brooklyn,Private room,96.0,3,244,1.0,2.0,1.0,2,True,1.9822712330395684
28693,944840863824995866,Manhattan,Entire home/apt,340.0,3,234,1.0,1.0,2.0,4,False,2.531478917042255
28694,944898365098168917,Manhattan,Entire home/apt,341.0,31,259,1.0,1.0,1.0,2,True,2.5327543789924976
28695,944912791363398658,Manhattan,Entire home/apt,246.0,74,136,2.0,2.0,2.0,4,True,2.3909351071033793
28696,944912962440670211,Manhattan,Entire home/apt,937.0,74,61,4.0,4.5,4.0,10,True,2.971739590887778
28697,944920536775536702,Manhattan,Entire home/apt,224.0,1,365,1.0,1.0,2.0,2,False,2.3502480183341627
28698,954409858822364497,Queens,Entire home/apt,115.0,1,89,1.0,1.0,2.0,2,False,2.060697840353612
28699,954416106078461534,Queens,Private room,41.0,6,60,1.0,1.5,1.0,1,True,1.6127838567197355
28701,948529812205693771,Manhattan,Private room,43.0,12,215,5.0,2.0,1.0,1,False,1.6334684555795864
28702,948566915733303630,Manhattan,Private room,169.0,1,269,1.0,1.0,1.0,1,False,2.2278867046136734
28703,948571500147013460,Brooklyn,Entire home/apt,232.0,1,269,1.0,1.0,1.0,4,False,2.3654879848909
28704,948583956858487097,Manhattan,Entire home/apt,384.0,30,90,2.0,1.5,2.0,4,False,2.584331224367531
28705,948641738106703685,Manhattan,Entire home/apt,299.0,30,239,4.0,2.0,4.0,8,False,2.4756711883244296
28706,948686702143302519,Manhattan,Entire home/apt,200.0,1,270,1.0,1.0,2.0,2,False,2.3010299956639813
28709,948842213174120198,Manhattan,Entire home/apt,300.0,1,270,1.0,1.0,1.0,2,False,2.4771212547196626
28710,948965851476384808,Queens,Entire home/apt,89.0,7,269,1.0,1.0,1.0,2,False,1.9493900066449128
28711,952798329936840147,Manhattan,Entire home/apt,195.0,1,177,1.0,1.0,2.0,3,False,2.290034611362518
28712,952824969723825832,Queens,Entire home/apt,125.0,1,269,2.0,1.0,2.0,4,False,2.0969100130080562
28713,952829600740335989,Manhattan,Private room,112.0,1,179,1.0,1.0,1.0,2,False,2.0492180226701815
28714,952878493728030140,Manhattan,Entire home/apt,750.0,1,263,2.0,2.0,2.0,4,False,2.8750612633917
